"siteid","sitename","area","notes","description","elev"
13486,"Hunters Lake",NA,NA,NA,3468
13487,"Dailey Lake",NA,NA,NA,1599
13488,"Fish Lake",NA,NA,NA,541
13575,"Ogaromtoc Lake",NA,NA,NA,598
13625,"Eleanor Lake",NA,NA,NA,670
13627,"Plan B Pond",NA,NA,NA,1624
13628,"Bison Lake",NA,NA,NA,3277
13644,"Upper Fly Lake",NA,NA,NA,1309
13658,"Patterson Lake",NA,NA,NA,2750
13671,"Bolan Lake",NA,NA,NA,1639
13680,"Chihuahueños Bog",NA,NA,NA,2932
13683,"Purple Lake",NA,NA,NA,3220
13695,"Star Meadows",NA,NA,NA,1126
13714,"East Glacier Lake",NA,NA,NA,3290
13879,"Mica Lake",NA,NA,NA,99
13910,"Petit lac Bouchard",NA,NA,NA,157
13920,"Newark Valley Pond",NA,NA,NA,1787
13922,"Kingston Meadow",NA,NA,NA,2276
13923,"Upper Squaw Lake",NA,NA,NA,939
13981,"Lake Refugio 1",NA,NA,NA,3374
13982,"Lake Refugio 2",NA,NA,NA,3455
13986,"Lake Refugio 3",NA,NA,NA,3380
13987,"Laguna La Guitarra",NA,NA,NA,3427
13988,"Cuchilla La Rabona",NA,NA,NA,3855
13989,"Laguna de los Bobos",NA,NA,NA,3860
14003,"Laguna De La Cocha",NA,NA,NA,2780
14028,"Ciénaga del Visitador",NA,NA,NA,3257
14029,"Laguna Ciega",NA,NA,NA,3485
14049,"Sunwapta Pass Bog 2",NA,NA,NA,2038
14050,"Andabobos",NA,NA,NA,3760
14052,"Laguna Negra de Alsacia",NA,NA,NA,3167
14053,"Laguna Gobernador",NA,NA,NA,3822
14055,"Sunwapta Pass Bog 6",NA,NA,NA,2001
14056,"Sunwapta Pass Bog 1",NA,NA,NA,2035
14059,"Valle de Lagunillas V",NA,NA,NA,3907
14060,"Valle de Lagunillas VIII",NA,NA,NA,3902
14061,"Valle de Lagunillas VII",NA,NA,NA,3907
