"siteid","sitename","lat","long","area","notes","description","elev"
754,"Lac Dufresne",45.85,-70.35,NA,NA,NA,648
755,"Dunnigan Lake",47.706578,-91.632396,NA,NA,NA,506
756,"Duvanny Yar, Alas Exposure, Kolyma Lowland",68.66667,159.08333,NA,NA,NA,12
757,"Eagle Lake Bog",44.16667,-71.66667,NA,NA,NA,1000
758,"Eagle Lake",53.23333,-58.55,NA,NA,NA,369
759,"Eaglenest Lake",57.76667,-112.1,NA,NA,NA,745
762,"East Twin Lake",45.33333,-93.50833,NA,NA,NA,284
763,"East Baltic Bog",46.40833,-62.15,NA,NA,NA,35
765,"Edessa",40.81806,21.9525,NA,NA,NA,610
766,"Edward Lake",44.37,-80.25,NA,NA,NA,508
767,"Eggert Lake",44.46964,-93.619918,NA,NA,NA,313
769,"Elikchan 4 Lake",60.75,151.88333,NA,NA,NA,891
770,"E Lake",50.6909,-99.65856,NA,NA,NA,727
771,"Eldora Fen",39.93667,-105.58,NA,NA,NA,2852
772,"Elgygytgyn Stream Section",67.41667,172.08333,NA,NA,NA,526
773,"Elgennya Lake",62.08333,149,NA,NA,NA,1099
774,"Lake Ellensmere",39.35417,-83.01,NA,NA,NA,194
775,"Ely Lake",41.76667,-75.83333,NA,NA,NA,402
776,"Emerald Lake",44.06667,-110.3,NA,NA,NA,2557
778,"Encantado",-40.66667,-71.13333,NA,NA,NA,1087
779,"Enmyvaam River, 2.5-3 m terrace",67.43333,172.16667,NA,NA,NA,503
780,"Enmyvaam River, 7-9 m Terrace",67.06667,171.61667,NA,NA,NA,356
781,"Enmynveem River",68.25,166,NA,NA,NA,560
782,"Ennadai Lake, 1972 Site",61.24444,-100.95139,NA,NA,NA,310
783,"Ennadai Lake",61.16667,-100.91667,NA,NA,NA,302
784,"Entarnoye Peat Exposure",59,78.33333,NA,NA,NA,77
785,"Lake Erie",41.92,-82.76,NA,NA,NA,174
786,"Ernst Brother's Pit",43.23306,-88.04194,NA,NA,NA,259
788,"East Sooke Fen",48.35194,-123.68167,NA,NA,NA,181
789,"Lac à la Fourche",47.60972,-70.61583,NA,NA,NA,355
790,"Etivlik Lake",68.13333,-156.03333,NA,NA,NA,630
793,"Excelsior Basin",52.78333,-117.11667,NA,NA,NA,2309
794,"Exchequer Meadow",37,-119.83333,NA,NA,NA,125
795,"Faith Pond",47.27228,-96.09424,NA,NA,NA,343
796,"Fallback Lake",43.96667,-110.43333,NA,NA,NA,2519
797,"Lac Faribault",58.86694,-71.71694,NA,NA,NA,208
798,"Tourbière de Farnham",45.28278,-72.98278,NA,NA,NA,51
799,"Farquar Lake",44.757618,-93.165416,NA,NA,NA,273
800,"Fawn Lake (CA:Ontario)",45.41,-79.39,NA,NA,NA,317
801,"Fawn Lake",46.21889,-94.75333,NA,NA,NA,386
803,"Fernbank Interglacial",42.55296,-76.62068,NA,NA,NA,121
804,"Ferndale Bog",34.40556,-95.80833,NA,NA,NA,277
805,"Fiddler's Pond",56.25,-121.42,NA,NA,NA,634
806,"Figurnoye Lake",62.1,149,NA,NA,NA,1048
807,"First",41.134956,-75.02775,NA,NA,NA,320
808,"Fish Lake",73.03472,-85.21667,NA,NA,NA,144
810,"Beaverhouse Lake",54.74222,-101.68167,NA,NA,NA,284
811,"Floating Island Lake",44.55,-107.46667,NA,NA,NA,2611
814,"John Klondike Bog",60.35667,-123.64667,NA,NA,NA,456
816,"Forest Pond 1",43.47167,-109.93889,NA,NA,NA,2788
817,"Forest Pond 2",43.43889,-109.95,NA,NA,NA,2791
818,"Forest Lake",46.45167,-112.16583,NA,NA,NA,1900
819,"Forge Pond",40.85583,-74.39917,NA,NA,NA,67
820,"Fox Pond",47.165,-95.55833,NA,NA,NA,506
821,"Frains Lake",42.33,-83.63,NA,NA,NA,253
823,"Hayes Lake",49.58333,-93.75,NA,NA,NA,409
824,"French Lake",44.945278,-94.421536,NA,NA,NA,330
825,"Frenchmens Bay",43.82,-79.1,NA,NA,NA,78
826,"Fresh Pond",41.15833,-71.575,NA,NA,NA,35
827,"Frying Pan Lake",38.61667,-111.66667,NA,NA,NA,2719
828,"Fudger Lake",40.1,-83.53333,NA,NA,NA,317
829,"Furnival Lake",48.21,-84.93,NA,NA,NA,451
830,"Saint-Gabriel",46.27583,-73.47583,NA,NA,NA,229
831,"Gagra",43.28333,40.26667,NA,NA,NA,-4
832,"Gardiner's Hole",44.91667,-110.73333,NA,NA,NA,2217
833,"Gass Lake",44.05,-87.73333,NA,NA,NA,219
834,"Gause Bog",30.785,-96.72111,NA,NA,NA,113
835,"Georgian Bay, Lake Huron (1)",44.74,-80.86,NA,NA,NA,175
836,"Georgian Bay, Lake Huron (2)",45.17,-81.32,NA,NA,NA,179
837,"Lac Geai",45.99583,-73.99278,NA,NA,NA,354
838,"Gek Lake",63.38333,147.65,NA,NA,NA,952
839,"Gel'myazevskoye",49.66667,31.83333,NA,NA,NA,71
841,"George (BE)",44.232094,-93.871714,NA,NA,NA,301
842,"Lac à St-Germain",45.94583,-74.37083,NA,NA,NA,459
843,"Serra Campos Gerais",-24.66667,-50.21667,NA,NA,NA,1237
844,"Giles",41.376234,-75.09431,NA,NA,NA,428
845,"Upper Gillies Lake",46.06667,-60.39167,NA,NA,NA,69
846,"Glacial Lake",64.86667,-166.26667,NA,NA,NA,46
847,"Gladkoye Bog",55,83.33333,NA,NA,NA,96
848,"Glatsch Lake",47.28,-92.62,NA,NA,NA,405
849,"Jones Lake [Glenboro site]",49.44694,-99.29124,NA,NA,NA,408
850,"Glukhoye Lake",59.75,149.91667,NA,NA,NA,3
851,"Peat Exposure, Glukhoye Lake",59.75,149.91667,NA,NA,NA,3
936,"Goff Lake",44.4525,-109.83861,NA,NA,NA,1941
937,"Gold Lake",43.63422,-122.04264,NA,NA,NA,1465
938,"Goldsmith Lake",46.58333,-92.46667,NA,NA,NA,343
939,"Goluboye Lake",61.11667,152.26667,NA,NA,NA,799
940,"Goshen Springs",31.72111,-86.13417,NA,NA,NA,104
941,"Gould Pond",44.98333,-69.31667,NA,NA,NA,90
942,"Gould's Bog",42.53333,-72.18333,NA,NA,NA,357
943,"Graham Lake",45.18333,-77.35,NA,NA,NA,363
944,"Grand Rapids",53,-98.25,NA,NA,NA,207
945,"Grant Lake",64.71667,-100.46667,NA,NA,NA,201
946,"Lac Gras",52.25,-67.06667,NA,NA,NA,525
947,"Grasvatn",63.702696,8.68858,NA,NA,NA,25
948,"Gravel Ridge",55.03333,-62.63333,NA,NA,NA,551
951,"Green Point Pond",49.67,-57.95,NA,NA,NA,28
952,"Green Lake",44.88333,-85.11667,NA,NA,NA,341
953,"Green Pond",41.002606,-74.498868,NA,NA,NA,317
955,"Greenwater Pond",42.28333,-73.31667,NA,NA,NA,258
956,"Grenadier Pond",43.64,-79.47,NA,NA,NA,75
957,"Grey Islands",50.76889,-55.51667,NA,NA,NA,145
958,"Lac Griault",54.14694,-76.12889,NA,NA,NA,164
959,"Grice Pond",47.203036,-95.756234,NA,NA,NA,453
960,"Guardipee Lake",48.55,-112.71667,NA,NA,NA,1246
961,"Water Conservation Area 3B, Gumbo Limbo Dry Head",25.77389,-80.50556,NA,NA,NA,1
962,"Water Conservation Area 3B, Gumbo Limbo Far Tail",25.77472,-80.50556,NA,NA,NA,1
963,"Water Conservation Area 3B, Gumbo Limbo Marsh",25.77889,-80.51111,NA,NA,NA,1
964,"Water Conservation Area 3B, Gumbo Limbo Near Tail",25.88694,-80.56139,NA,NA,NA,2
965,"Water Conservation Area 3B, Gumbo Limbo Wet Head",25.77361,-80.50639,NA,NA,NA,1
966,"Gurskii Peat [Site 4381]",50.06667,137.08333,NA,NA,NA,56
967,"Gytgykai Lake",63.16667,175,NA,NA,NA,457
968,"Hack Pond",37.98472,-78.99722,NA,NA,NA,470
969,"Hafichuk Site",50.32056,-105.88389,NA,NA,NA,724
970,"Hail Lake",60.03333,-129.01667,NA,NA,NA,743
971,"Hams Lake",43.23667,-80.41333,NA,NA,NA,267
972,"Hanging Lake",68.38333,-138.38333,NA,NA,NA,530
973,"Hansen Marsh",43.438606,-89.672484,NA,NA,NA,386
975,"Harding Lake",64.44444,-146.9075,NA,NA,NA,192
976,"Lac Harriman",48.2375,-65.83889,NA,NA,NA,66
977,"Harrie Lake",52.93333,-66.95,NA,NA,NA,530
979,"Hawke Hills Kettle",47.32222,-53.13333,NA,NA,NA,210
981,"Hawley Bog Pond-1",42.56667,-72.88333,NA,NA,NA,554
982,"Hay Lake",34,-109.425,NA,NA,NA,2807
992,"Headwaters Lake",67.93333,-155.05,NA,NA,NA,869
993,"Healy Lake",64,-144.75,NA,NA,NA,322
996,"Hebron Lake",58.2,-63.03333,NA,NA,NA,335
997,"Hedrick Pond",43.75,-110.6,NA,NA,NA,2082
998,"Helmetta Bog",40.38333,-74.43333,NA,NA,NA,28
999,"Hemo Pond",47.1324,-95.475532,NA,NA,NA,497
1000,"Tourbière de Lanoraie HENRI",45.98889,-73.3,NA,NA,NA,15
1064,"Snow Lake",56.63333,-63.88333,NA,NA,NA,512
1070,"Hickory Ridge Basin",38.94722,-89.11333,NA,NA,NA,167
1071,"Hidden Lake",60.480304,-150.275286,NA,NA,NA,76
1072,"High Lake",44.51667,-76.6,NA,NA,NA,143
1074,"Honeymoon Pond",64.63333,-138.4,NA,NA,NA,1220
1076,"Blocknic Lake [Horse Pond]",47.18109,-95.86901,NA,NA,NA,392
1077,"Horseshoe Lake",45.46028,-93.04778,NA,NA,NA,275
1078,"Hostage Lake",46.55,-94.13333,NA,NA,NA,373
1080,"Houghton Bog",42.54167,-78.67028,NA,NA,NA,428
1081,"Howes Prairie Marsh",41.65,-87.07222,NA,NA,NA,182
1100,"Hudson Lake",41.67,-86.53,NA,NA,NA,243
1101,"Hug Lake",47.95833,-90.93333,NA,NA,NA,576
1102,"Humber Pond 3",43.64,-79.48,NA,NA,NA,82
1103,"Humber Pond 5",43.64,-79.49,NA,NA,NA,79
1104,"Humber Pond 7",43.65,-79.5,NA,NA,NA,98
1105,"Hustler Lake",48.227368,-92.161904,NA,NA,NA,407
